,Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
33,34.0,P,James Paxton*,35.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,paxtoja01
34,35.0,P,Bobby Miller* (15-day IL),25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,millebo06
35,36.0,P,Connor Brogdon (60-day IL),29.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,brogdco01
36,37.0,P,Daniel Hudson,37.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,hudsoda01
37,38.0,P,Ryan Brasier (60-day IL),36.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,brasiry01
38,39.0,P,Alex Vesia*,28.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,vesiaal01
39,40.0,P,Dinelson Lamet,31.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,lametdi01
40,41.0,P,Ryan Yarbrough,32.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,yarbrry01
41,42.0,P,Evan Phillips,29.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,phillev01
42,43.0,P,Tyler Glasnow*,30.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,glasnty01
43,44.0,P,Ricky Vanasco (7-day IL),25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,vanasri01
44,45.0,P,Michael Petersen,30.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,petermi01
45,,,Team Totals,30.3,75.0,2905.0,2550.0,378.0,654.0,139.0,13.0,102.0,364.0,45.0,11.0,293.0,609.0,0.256,0.337,0.441,0.779,121.0,1125.0,54.0,31.0,3.0,24.0,14.0,-9999
46,,,Rank in 15 NL teams,,,,2.0,1.0,2.0,2.0,3.0,1.0,,8.0,5.0,1.0,8.0,3.0,1.0,1.0,1.0,,1.0,,6.0,,4.0,,-9999
